"","Comuna","Mun_2012","Pres_2013","Pres_2013_2V","Mun_2016","Pres_2017","Pres_2017_2V"
"1","Alhue",47.93,37.92,34.24,53.41,38.19,42.75
"2","Buin",49.48,51.29,43.68,42.04,47.41,49.51
"3","Calera De Tango",55.82,58.36,51.97,48.1,55.53,57.93
"4","Cerrillos",37.28,42.44,41.07,31.92,46.27,48.86
"5","Cerro Navia",40.96,46.82,40.81,31.37,43.53,45.07
"6","Colina",42.76,46.76,42.28,32.4,47.59,51.02
"7","Conchali",37.29,48.71,42.08,25.87,46.18,48.17
"8","Curacavi",55.05,53.9,48.86,48.29,51.27,54.1
"9","El Bosque",35.76,47.44,41.4,23.36,44.63,46.86
"10","El Monte",56.3,53.92,47.63,46.08,51.18,53.06
"11","Estacion Central",36.94,45.73,39.75,26.25,43.69,45.63
"12","Huechuraba",45.52,52.53,45.52,38.37,52.45,54.16
"13","Independencia",38.97,45.04,38.1,29.77,43.35,45.13
"14","Isla De Maipo",48.72,51.95,46.53,35.49,49.77,52.08
"15","La Cisterna",36.58,49.59,42.58,25.63,49.23,51.78
"16","La Florida",39.63,52.3,42.64,28.66,51.7,53.36
"17","La Granja",32.02,45.54,38.45,21.18,43.47,44.96
"18","La Pintana",30.47,39.7,34.19,21.29,36.87,37.29
"19","La Reina",42.63,59.77,52.08,37.05,60.91,63.69
"20","Lampa",49.04,47.89,41.37,37.05,47.07,49.87
"21","Las Condes",39.41,59.58,54.8,36.25,62.09,66.07
"22","Lo Barnechea",42.77,60.11,54.78,42.46,62.87,66.63
"23","Lo Espejo",33.82,46.2,40.45,24.02,42.58,44.04
"24","Lo Prado",39.54,50.42,43.85,24.91,47.34,49.91
"25","Macul",40.93,53.7,45.94,31.15,51.34,54.42
"26","Maipu",35.52,50.28,40.01,26.17,50.96,52.06
"27","Maria Pinto",57.22,53.82,48.85,52.53,46.68,51.7
"28","Melipilla",43.47,49,43.72,32.74,44.96,48.53
"29","Ñuñoa",45.29,61.05,51.42,35.65,61.05,63.59
"30","Padre Hurtado",50.29,52.39,44.92,39.12,50.95,51.67
"31","Paine",50.95,51.7,45.72,39.2,47.73,50.62
"32","Pedro Aguirre Cerda",42.11,52,45.51,29.65,48.88,50.85
"33","Peñaflor",46.68,51.04,37.75,39.57,50.13,51.11
"34","Peñalolen",39.7,50.77,43.07,27.27,49.29,50.98
"35","Pirque",50.21,56.14,45.54,39.42,51.05,54.77
"36","Providencia",43.39,51.74,44.99,37.73,54.68,57.4
"37","Pudahuel",34.84,46.99,39.96,24.11,46.46,47.5
"38","Puente Alto",29.48,42.78,32.47,22.82,42.62,43.61
"39","Quilicura",39.84,47.07,38.41,29.58,47.39,48.29
"40","Quinta Normal",36.27,47.43,40.76,24.57,45.99,48.07
"41","Recoleta",33.27,46.86,40.28,29.17,44.22,46.5
"42","Renca",38.91,45.32,38.24,27.39,42.66,43.9
"43","San Bernardo",34,43.95,36.71,24.23,42.7,43.51
"44","San Joaquin",35.85,49.29,42.78,23.7,47.92,49.71
"45","San Jose De Maipo",54.32,53.4,47.06,42.8,49.49,53.4
"46","San Miguel",36.43,49.05,41.58,27.4,49.56,51.71
"47","San Pedro",63.52,53.2,49.75,59.13,41.93,50.87
"48","San Ramon",38.66,49.77,42.97,28.33,45.32,47.03
"49","Santiago",32.44,42.5,34.69,22.32,41.43,43.32
"50","Talagante",52.44,54.26,47.68,38.45,54.12,55.29
"51","Tiltil",55,50.47,44.79,45.43,48.04,51.95
"52","Vitacura",45.18,66.82,62.95,45.04,69.05,73
